@relation 'parsejson'
@attribute probe_id numeric
% dsfail.py
@attribute dsfail_rt numeric
@attribute dsfail_size numeric
@attribute dsfail_flags numeric %% header bit flags (decimal)
@attribute dsfail_rcode numeric %% response code
@attribute dsfail_qcount numeric %% query count
@attribute dsfail_acount numeric %% answer count
@attribute dsfail_nscount numeric %% authority count
@attribute dsfail_arcount numeric %% additional count
@attribute dsfail_rdata string %% rdata of first reply
% nxdomain.py
@attribute nxd_rt numeric %% response time
@attribute nxd_size numeric %% response size
@attribute nxd_rcode numeric %% response code
% dnskey.py
@attribute dnskey_rt numeric    %% response time
@attribute dnskey_size numeric  %% response size
@attribute dnskey_flags numeric %% header bit flags (decimal)
@attribute dnskey_rcode numeric %% response code
% nsid.py
@attribute nsid_rt numeric    %% response time
@attribute nsid_flags numeric %% header bit flags (decimal)
@attribute nsid_rcode numeric %% response code
% chaos.py
@attribute chaos1_rt numeric % response time
@attribute chaos1_size numeric % response size
@attribute chaos1_rcode numeric % response code
@attribute chaos1_version_bind numeric % request field
@attribute chaos1_version_hostname numeric % request field
@attribute chaos1_resp string % response string
% whoami.py
@attribute whoami_rt numeric %% response time
@attribute whoami_ip string %% resolver ip address
@attribute whoami_asn numeric %% resolver asn
% class
@attribute ok {1,0}
@data
224,482.922,39,33154,2,1,0,0,0,N/A,77.931,105,3,74.541,31,33664,0,86.508,33152,0,54.125,30,2,1,0,N/A,66.639,173.194.98.2,15169,1
234,440.2,39,33154,2,1,0,0,0,N/A,119.37,105,3,96.708,31,33664,0,99.829,33152,0,54.23,30,2,1,0,N/A,55.973,173.194.171.13,15169,1
242,420.904,39,33154,2,1,0,0,0,N/A,269.007,105,3,108.52,31,33664,0,278.735,33152,0,100.396,30,2,1,0,N/A,102.616,74.125.47.154,15169,1
243,652.243,39,33154,2,1,0,0,0,N/A,76.567,105,3,98.931,31,33664,0,90.826,33152,0,68.973,30,2,1,0,N/A,94.661,173.194.91.88,15169,1
246,266.864,39,33154,2,1,0,0,0,N/A,68.056,105,3,90.189,31,33664,0,80.76,33152,0,58.929,30,2,1,0,N/A,62.839,173.194.170.13,15169,1
267,316.762,39,33154,2,1,0,0,0,N/A,66.443,105,3,66.768,31,33664,0,74.52,33152,0,109.634,30,2,1,0,N/A,59.75,74.125.181.193,15169,1
274,310.241,39,33154,2,1,0,0,0,N/A,75.366,105,3,68.334,31,33664,0,76.918,33152,0,67.212,30,2,1,0,N/A,62.86,74.125.181.7,15169,1
277,301.758,39,33154,2,1,0,0,0,N/A,96.147,105,3,94.098,31,33664,0,99.283,33152,0,93.1,30,2,1,0,N/A,90.945,74.125.47.141,15169,1
282,224.087,39,33154,2,1,0,0,0,N/A,80.94,105,3,62.328,31,33664,0,95.624,33152,0,53.845,30,2,1,0,N/A,56.027,74.125.47.130,15169,1
283,274.953,39,33154,2,1,0,0,0,N/A,259.049,105,3,287.464,31,33664,0,271.559,33152,0,69.199,30,2,1,0,N/A,77.911,74.125.73.65,15169,1
284,277.264,39,33154,2,1,0,0,0,N/A,85.601,105,3,82.671,31,33664,0,92.489,33152,0,70.484,30,2,1,0,N/A,69.052,74.125.181.194,15169,1
289,255.661,39,33154,2,1,0,0,0,N/A,90.178,105,3,90.251,31,33664,0,96.129,33152,0,81.522,30,2,1,0,N/A,83.724,74.125.46.6,15169,1
304,291.35,39,33154,2,1,0,0,0,N/A,82.799,105,3,85.161,31,33664,0,124.589,33152,0,66.393,30,2,1,0,N/A,70.541,74.125.76.11,15169,1
306,587.27,39,33154,2,1,0,0,0,N/A,90.411,105,3,220.341,31,33664,0,226.128,33152,0,100.064,30,2,1,0,N/A,214.962,173.194.171.7,15169,1
319,292.861,39,33154,2,1,0,0,0,N/A,667.795,105,3,244.951,31,33664,0,125.705,33152,0,61.968,30,2,1,0,N/A,77.722,74.125.183.200,15169,1
325,306.44,39,33154,2,1,0,0,0,N/A,71.825,105,3,71.186,31,33664,0,77.463,33152,0,63.365,30,2,1,0,N/A,64.378,74.125.47.154,15169,1
332,342.67,39,33154,2,1,0,0,0,N/A,107.912,105,3,108.376,31,33664,0,132.288,33152,0,111.343,30,2,1,0,N/A,103.166,74.125.47.9,15169,1
333,454.857,39,33154,2,1,0,0,0,N/A,364.342,105,3,102.477,31,33664,0,93.946,33152,0,54.138,30,2,1,0,N/A,90.588,173.194.93.13,15169,1
341,293.934,39,33154,2,1,0,0,0,N/A,80.387,105,3,81.544,31,33664,0,68.131,33152,0,54.326,30,2,1,0,N/A,56.08,74.125.181.208,15169,1
344,176.4,39,33154,2,1,0,0,0,N/A,91.655,105,3,92.495,31,33664,0,99.471,33152,0,82.638,30,2,1,0,N/A,85.528,74.125.181.14,15169,1
357,204.704,39,33154,2,1,0,0,0,N/A,81.596,105,3,78.78,31,33664,0,86.147,33152,0,70.503,30,2,1,0,N/A,72.007,74.125.181.12,15169,1
365,323.796,39,33154,2,1,0,0,0,N/A,76.161,105,3,76.384,31,33664,0,98.095,33152,0,60.683,30,2,1,0,N/A,70.94,74.125.47.9,15169,1
373,387.991,39,33154,2,1,0,0,0,N/A,74.931,105,3,75.419,31,33664,0,79.96,33152,0,62.815,30,2,1,0,N/A,68.652,173.194.98.14,15169,1
376,180.68,39,33154,2,1,0,0,0,N/A,228.356,105,3,170.795,31,33664,0,103.465,33152,0,121.351,30,2,1,0,N/A,115.304,74.125.181.7,15169,1
378,340.053,39,33154,2,1,0,0,0,N/A,82.318,105,3,68.024,31,33664,0,68.729,33152,0,53.919,30,2,1,0,N/A,64.811,74.125.46.6,15169,1
382,294.882,39,33154,2,1,0,0,0,N/A,89.399,105,3,79.857,31,33664,0,96.971,33152,0,82.545,30,2,1,0,N/A,74.713,74.125.47.9,15169,1
390,462.604,39,33154,2,1,0,0,0,N/A,67.714,105,3,62.345,31,33664,0,68.227,33152,0,54.584,30,2,1,0,N/A,56.129,173.194.91.88,15169,1
392,370.568,39,33154,2,1,0,0,0,N/A,129.319,105,3,130.529,31,33664,0,145.936,33152,0,123.479,30,2,1,0,N/A,122.389,74.125.47.154,15169,1
402,180.727,39,33154,2,1,0,0,0,N/A,88.568,105,3,84.719,31,33664,0,90.361,33152,0,81.367,30,2,1,0,N/A,82.742,74.125.47.141,15169,1
404,334.454,39,33154,2,1,0,0,0,N/A,70.817,105,3,527.968,31,33664,0,78.899,33152,0,63.601,30,2,1,0,N/A,65.135,74.125.47.154,15169,1
416,319.062,39,33154,2,1,0,0,0,N/A,102.234,105,3,89.657,31,33664,0,107.422,33152,0,77.262,30,2,1,0,N/A,103.226,74.125.47.4,15169,1
418,259.203,39,33154,2,1,0,0,0,N/A,63.62,105,3,71.162,31,33664,0,79.707,33152,0,60.832,30,2,1,0,N/A,63.68,74.125.73.74,15169,1
